School Name
PM SHRI KENDRIYA VIDYALAYA
SUNSHINE WLDWIDE SECONDARY SCHOOL
GREEN MEADOWS SCHOOL
FR. AGNEL CENTRAL SCHOOL
PODAR INTERNATIONAL SCHOOL
JAWAHAR NAVODAYA VIDYALAYA
THE KINGS SCHOOL
VIDYA VIKAS ACADEMY
MOUNT LITERA ZEE SCHOOL
BHARATIYA VIDYA BHAVANS NARAYAN BANDEKAR SCHOOL
BLOOMZ INTERNATIONAL SCHOOL
PM SHRI SCHOOL JAWAHAR NAVODAYA VIDYALAYA
NAVY CHILDREN SCHOOL
