sno,aff_no_school_code,state_district,school_head_name,address,website
275,"Aff. No. :300035
Sch. Code:69061","State : BIHAR
District : CHAMPARAN WEST",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: VIVEK DHAR DUBEY","Address : FINISHED LEATHER UNIT IND AREA MANSA TOLA BETTIAH CHAMPARAN WEST DISTT., BIHAR
Website : https://betiah.kvs.ac.in"
276,"Aff. No. :330057
Sch. Code:65055","State : BIHAR
District : CHAMPARAN WEST",Senior Secondary Level,"Name : SARASWATI VIDYA MANDIR
Head/Principal Name: FANISHWAR NATH","Address : DR. HEADGAVAR NAGAR BARVAT SENA BETIAH WEST CHAMPARAN BIHAR
Website : www.svmbth.com"
277,"Aff. No. :330063
Sch. Code:65061","State : BIHAR
District : CHAMPARAN WEST",Senior Secondary Level,"Name : ASSEMBLY OF GOD CHURCH SCHOOL
Head/Principal Name: SAPAN JOSEPH","Address : BETTIAH WEST CHAMPARAN BIHAR
Website : www.agcsbth.in"
278,"Aff. No. :330077
Sch. Code:65074","State : BIHAR
District : CHAMPARAN WEST",Senior Secondary Level,"Name : ST. XAVIER'S HR SEC SCHOOL
Head/Principal Name: Armstrong Edison","Address : K R CAMPUS BETTIAH WEST CHAMPARAN BIHAR
Website : www.stxaviersbth.com"
279,"Aff. No. :330496
Sch. Code:65494","State : BIHAR
District : CHAMPARAN WEST",Senior Secondary Level,"Name : RAJHANS PUBLIC SCHOOL
Head/Principal Name: SONU KUMAR TIWARI","Address : AT+PO-RAMNAGAR,DISTT-WEST CHAMPARAN
Website : www.rajhanspublicschool.com"
280,"Aff. No. :330507
Sch. Code:65499","State : BIHAR
District : CHAMPARAN WEST",Secondary Level,"Name : MONTFORT SENIOR SECONDARY SCHOOL
Head/Principal Name: VINCENT MADHANU","Address : BANKATWA BAGAHA WEST CHAMPARAN BIHAR - 845 101
Website : http://www.montfortbagaha.org"
281,"Aff. No. :330517
Sch. Code:65510","State : BIHAR
District : CHAMPARAN WEST",Senior Secondary Level,"Name : ST. JOSEPHS SCHOOL
Head/Principal Name: SHYLA M GEORGE","Address : DARGHA MOHALLA, BETTIAH
Website : http://www.stjosephbth.com/"
282,"Aff. No. :330511
Sch. Code:65506","State : BIHAR
District : CHAMPARAN WEST",Senior Secondary Level,"Name : HYDERABAD SATYAGRAH D.A.V. PUBLIC SCHOOL
Head/Principal Name: MRITUNJAY KUMAR TIWARI","Address : H.S. DA.V PUBLIC SCHOOL , NARKATIAGANJ, WEST -CHAMPARAN.
Website : www.hsdavnarkatiaganj.org"
283,"Aff. No. :330519
Sch. Code:65513","State : BIHAR
District : CHAMPARAN WEST",Senior Secondary Level,"Name : NOTRE DAME PUBLIC SCHOOL
Head/Principal Name: KRISHNA MOHAN MISHRA","Address : BELBAGH, BETTIAH, WEST CHAMPARAN.
Website : www.ndpsbth.org"
284,"Aff. No. :330539
Sch. Code:65531","State : BIHAR
District : CHAMPARAN WEST",Senior Secondary Level,"Name : KATAHARI PUBLIC SCHOOL
Head/Principal Name: QUAENAT SHAMS","Address : AT- KATAHARI, PO- SATHI, DISTT.- WEST CHAMPARAN
Website : www.kataharipublicschool.org"
