sno,aff_no_school_code,state_district,school_head_name,address,website
619,"Aff. No. :1630025
Sch. Code:20041","State : PUNJAB
District : GURDASPUR",Secondary Level,"Name : ST. JOSEPH'S CONVENT SEC SCHOOL
Head/Principal Name: SR FREEDA","Address : PATHANKOT PUNJAB
Website : www.stjosephpathankot.com"
620,"Aff. No. :1600011
Sch. Code:24527","State : PUNJAB
District : GURDASPUR",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: DINESH KUMAR","Address : TIBRI GURDASPUR CANTT PUNJAB
Website : https://tibricantt.kvs.ac.in/"
621,"Aff. No. :1620016
Sch. Code:24022","State : PUNJAB
District : GURDASPUR",Senior Secondary Level,"Name : GOVT. ADARSH SCHOOL
Head/Principal Name: NEELAM KUMARI","Address : VILL. & P.O. BHILKARI WALA
Website :"
622,"Aff. No. :1600037
Sch. Code:24558","State : PUNJAB
District : GURDASPUR",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: SURENDER KUMAR","Address : DERA BABA NANAK SHIKAR DISTT GURDASPUR PUNJAB
Website : www.shikarpurbsf.kvs.ac.in"
623,"Aff. No. :1631593
Sch. Code:23897","State : PUNJAB
District : GURDASPUR",Secondary Level,"Name : BABA FARID INTERNATIONAL SCHOOL
Head/Principal Name: DEEPTI","Address : VPO DARAPUR, OPP HP BAJWA FILLING STATION , GURDASPUR
Website : https://bfisdarapur.com/"
624,"Aff. No. :1631581
Sch. Code:23819","State : PUNJAB
District : GURDASPUR",Secondary Level,"Name : GURU GOBIND SINGH PUBLIC SCHOOL
Head/Principal Name: SHIVANI SINGH","Address : HARDO BATHWALA ROAD, NEAR HARDO CHANNI BYEPASS CHOWK, GURDASPUR
Website : https://www.ggpsgsp.com"
625,"Aff. No. :1631584
Sch. Code:23843","State : PUNJAB
District : GURDASPUR",Senior Secondary Level,"Name : GGB ROYAL INTERNATIONAL SCHOOL
Head/Principal Name: Sharnjit Kaur","Address : VPO DHILWAN KOTLI SURAT MALHI , GURDASPUR, PUNJAB
Website : http://ggbris.com/Index.aspx"
626,"Aff. No. :1631534
Sch. Code:23756","State : PUNJAB
District : GURDASPUR",Secondary Level,"Name : ST. XAVIER'S SCHOOL
Head/Principal Name: FR. REMY CARDOZO","Address : SATKOHA , NAUSHERA MAJHA SINGH, DISTT. GURDASPUR
Website : https://www.stxavierschoolsatkoha.com"
627,"Aff. No. :1631491
Sch. Code:23705","State : PUNJAB
District : GURDASPUR",Secondary Level,"Name : GURU HAR RAI PUBLIC SCHOOL
Head/Principal Name: M.S GOPA KUMAR","Address : D.B.N. ROAD, QILA LAL SINGH,143511, D.B.N. ROAD, QILA LAL SINGH,143511
Website : www.ghrps.org.in"
628,"Aff. No. :1631485
Sch. Code:23699","State : PUNJAB
District : GURDASPUR",Secondary Level,"Name : SHRI GURU NANAK DEV JI INTERNATIONAL SCHOOL
Head/Principal Name: Ravinder Kaur","Address : FATEHGARH CHURIAN, GURDASPUR
Website : https://www.sgnparowal.org/"
629,"Aff. No. :1631493
Sch. Code:23707","State : PUNJAB
District : GURDASPUR",Secondary Level,"Name : SHRI GURU NANAK DEV PUBLIC SCHOOL
Head/Principal Name: HARJINDER SINGH","Address : GURDASPUR, PUNJAB
Website : https://www.sgndpublicschool.org/"
630,"Aff. No. :1631457
Sch. Code:23666","State : PUNJAB
District : GURDASPUR",Secondary Level,"Name : SHAMROCK INTERNATIONAL SCHOOL
Head/Principal Name: MEENA PRASHAR","Address : GURDASPUR PATHANKOT BYE PASS , DINANAGAR
Website : www.shamrockschool.net"
631,"Aff. No. :1631464
Sch. Code:23675","State : PUNJAB
District : GURDASPUR",Secondary Level,"Name : BHS MILLENNIUM SCHOOL
Head/Principal Name: VANDANA VOHRA","Address : BYE PASS , GURDASPUR
Website : http://bhsmillenniumschool.org.in"
