sno,aff_no_school_code,state_district,school_head_name,address,website
288,"Aff. No. :430209
Sch. Code:11807","State : GUJARAT
District : JUNAGADH",Middle Class,"Name : PODAR INTERNATIONAL SCHOOL
Head/Principal Name: Mr.Sunil Kaimal","Address : SURVEY NO.44/1,B/H MAHASAGAR PETROL PUMP, JUNAGADH - RAJKOT HIGHWAY , SUKHPUR VILLAGE
Website : http://www.podar.org"
289,"Aff. No. :400027
Sch. Code:14116","State : GUJARAT
District : JUNAGADH",Senior Secondary Level,"Name : KENDRIYA VIDYALAYA
Head/Principal Name: ASHWINBHAI MAKWANA","Address : BILKHA ROAD BEHIND ADARSH NVASI SHALA JUNAGADH GUJARAT
Website : https://junagarh.kvs.ac.in/"
290,"Aff. No. :430022
Sch. Code:10029","State : GUJARAT
District : JUNAGADH",Senior Secondary Level,"Name : DALMIA PUBLIC SCHOOL
Head/Principal Name: USHA SURESHKUMAR","Address : SANJAY NAGAR COLONY SATRAPADA VERAVAL. DISTT JUNAGARH, GUJARAT
Website : www.dalmiapublicschool.org"
291,"Aff. No. :430018
Sch. Code:10006","State : GUJARAT
District : JUNAGADH",Senior Secondary Level,"Name : AMBUJA VIDYA NIKETAN
Head/Principal Name: SHIVANAND SHIRAGAVE","Address : AMBUJA NAGAR TAL-KODINAR DISTT AMRELI GUJARAT
Website : www:ambujavidyaniketan.in"
292,"Aff. No. :430019
Sch. Code:10019","State : GUJARAT
District : JUNAGADH",Senior Secondary Level,"Name : NANJI KALIDAS D A V PUBLIC SCHOOL
Head/Principal Name: VIJAY ARORA","Address : G.S.C.L. SIDDHIGRAM VERAVAL, JUNAGARH DISTRICT, GUJARAT
Website : https://nkdav-mehtagroup.edu.in"
293,"Aff. No. :430254
Sch. Code:10233","State : GUJARAT
District : JUNAGADH",Senior Secondary Level,"Name : PODAR INTERNATIONAL SCHOOL
Head/Principal Name: VINAY KUMAR UPADHYAY","Address : SURVEY NO.44/1,B/H MAHASAGAR PETROL PUMP, JUNAGADH - RAJKOT HIGHWAY , SUKHPUR VILLAGE
Website : www.podareducation.org/school/junagadh"
294,"Aff. No. :430325
Sch. Code:10301","State : GUJARAT
District : JUNAGADH",Senior Secondary Level,"Name : EKLAVYA GLOBAL SCHOOL
Head/Principal Name: CH INNA REDDY","Address : NEAR KHAMDHROL CHOWKDI, BYPASS ROAD, JUNAGADH
Website : www.eklavyaglobal.org"
295,"Aff. No. :430468
Sch. Code:11451","State : GUJARAT
District : JUNAGADH",Secondary Level,"Name : GIRNAR PUBLIC SCHOOL
Head/Principal Name: HETAL RAMDEVPUTRAM","Address : ""PUSHPAKUNJ"", COLLEGE ROAD, NEAR MOTI BAUGH, OPPOSITE GIRNAR HEIGHTS, JUNAGADH, 362001, GUJARAT
Website : https://girnarpublicschool.org/"
296,"Aff. No. :430501
Sch. Code:11438","State : GUJARAT
District : JUNAGADH",Secondary Level,"Name : NEW ERA PROFESSOR ACADEMY -KEVADRA
Head/Principal Name: Mintu Bhaveshbhai Ratanpara","Address : KESHOD - VERAVAL NATIONAL HIGHWAY BYPASS.
Website : https://professoracademy.org/"
297,"Aff. No. :430679
Sch. Code:11899","State : GUJARAT
District : JUNAGADH",Senior Secondary Level,"Name : SHRI BRAHMANAND VIDYA MANDIR SAINIK SCHOOL CHAPARDA
Head/Principal Name: Capt HEMANGI BHATT","Address : SHRI BRAHMANAND VIDYA DHAM, , POST JUNI CHAVAND, TALUKA VISAVADAR
Website : https://sainikschoolchaparda.in/"
