sno,aff_no_school_code,state_district,school_head_name,address,website
650,"Aff. No. :2133844
Sch. Code:71903","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : ACADIA INTERNATIONAL SCHOOL
Head/Principal Name: Mohit Singh","Address : BILHAUR, KANPUR NAGAR
Website : www.acadiainternationalschool.com"
651,"Aff. No. :2133771
Sch. Code:71870","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : N L K ACADEMY
Head/Principal Name: AMITA KALRA","Address : KANPUR NAGAR, -
Website : www.nlkacademy.com"
652,"Aff. No. :2133849
Sch. Code:71906","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : DAV NUPPL PUBLIC SCHOOL
Head/Principal Name: DR. ASHUTOSH MISHRA","Address : GHATAMPUR, KANPUR NAGAR
Website : http://www.davnuppl.in"
653,"Aff. No. :2133475
Sch. Code:71625","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : VARANASI VISHWNATH INTERNATIONAL PUBLIC SCHOOL
Head/Principal Name: ANKIT BAJPAI","Address : SHIVSHAKTI NAGAR , BELA ROAD, CHUBEPUR , KANPUR NAGAR
Website : www.vvipschoolkanpur.com"
654,"Aff. No. :2133407
Sch. Code:71592","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : DR VIRENDRA SWARUP EDUCATION CENTER
Head/Principal Name: POOJA LALCHANDANI","Address : EMERALD GULISTAN, J.K. COLONY, JAJMAU, KANPUR NAGAR
Website : www.vsecjajmau.com"
655,"Aff. No. :2133672
Sch. Code:71787","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : B R EDUCATION CENTRE
Head/Principal Name: SATYENDRA UTTAM","Address : VILLAGE NAVODAYA NAGAR BHEVALI POST. SARSAUL KANPUR NAGAR
Website : www.brec.in"
656,"Aff. No. :2133539
Sch. Code:71709","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : CAMBRIDGE PUBLIC SCHOOL
Head/Principal Name: Neha Mehrotra","Address : S-3, RATANPUR, PANKI, KANPUR -208020
Website : www.cambridgeratanpur.com"
657,"Aff. No. :2134333
Sch. Code:72273","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : RISING SUN HERITAGE SCHOOL
Head/Principal Name: PANKAJ KUMAR SRIVASTAVA","Address : CHIRAN , KANPUR NAGAR, UP
Website : https://rshsbithoor.in/"
658,"Aff. No. :2134342
Sch. Code:72275","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : SUGHAR SINGH ACADEMY
Head/Principal Name: ALVINA RODRIGUES","Address : KHANDEPUR, KARRAHI ROAD , BARRA KANPUR NAGAR
Website : https://www.ssabarra.in/"
659,"Aff. No. :2134204
Sch. Code:72193","State : UTTAR PRADESH
District : KANPUR NAGAR",Secondary Level,"Name : LAV KUSH PUBLIC SCHOOL
Head/Principal Name: ARCHANA SHARMA","Address : NONHA KALAN BANDI MATA ROAD, CHAUBEPUR, TEHSIL BILHAUR
Website : www.lavakushpublicschool.in"
660,"Aff. No. :2134294
Sch. Code:72245","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : CHS GURUKULAM SCHOOL
Head/Principal Name: JYOTI VIJ","Address : 906 MOHANPURAM, MEHARBAN SINGH KA PURWA, KANPUR NAGAR
Website : www.chsgurukulam.com"
661,"Aff. No. :2134277
Sch. Code:72235","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : PYARE LAL CONVENT SCHOOL
Head/Principal Name: Gopal Krishna Dwivedi","Address : MEDUA, ARAUL, BILHAUR
Website : http://pyarelalconventschool.in"
662,"Aff. No. :2134281
Sch. Code:72238","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : NARAYANA E TECHNO SCHOOL
Head/Principal Name: POOJA THAKUR","Address : MAINAWATI MARG, KANPUR, KANPUR
Website : www.NARAYANASCHOOLKANPUR.COM"
663,"Aff. No. :2134083
Sch. Code:72095","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : JMD WORLD SCHOOL
Head/Principal Name: MALIKA ARORA","Address : MAINAWATI MARG, NEAR ISKCON TEMPLE, KANPUR
Website : https://jmdworldschool.com/"
664,"Aff. No. :2180017
Sch. Code:70739","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : ARMY PUBLIC SCHOOL
Head/Principal Name: V MURALIDHARAN","Address : NATHU SINGH ROAD KANPUR CANTT KANPUR UTTAR PRADESH
Website : www.apskanpur.com"
665,"Aff. No. :2180006
Sch. Code:70731","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : AIR FORCE SCHOOL
Head/Principal Name: RAJESH PANDEY","Address : AIR FORCE STATION CHAKERI KANPUR UTTAR PRADESH
Website : https://afschoolchakeriknp.in/"
666,"Aff. No. :2180021
Sch. Code:70741","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : AIR FORCE SCHOOL
Head/Principal Name: MAYANK BHADAURIA","Address : NO.7 A F HOSPITAL KANPUR CANTT. UTTAR PRADESH
Website : https://afschoolkanpurcantt.com/"
667,"Aff. No. :2134800
Sch. Code:72543","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : VIDYASAGAR EDUCATION CENTRE
Head/Principal Name: REETU SINGH","Address : VILL - TIKARA CHAUHAN, POST & TAHSIL - NARWAL, KANPUR NAGAR
Website : https://vsecnarwal.com"
668,"Aff. No. :2140042
Sch. Code:74029","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : JAWAHAR NAVODAYA VIDYALAYA
Head/Principal Name: ANAND KUMAR MISHRA","Address : NAGIL JALALPUR DISTT KANPUR DEHAT UTTAR PRADESH
Website :"
669,"Aff. No. :2140013
Sch. Code:74028","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : JAWAHAR NAVODAYA VIDYALAYA
Head/Principal Name: ASHOK KUMAR SINGH","Address : SARSAUL DISTT KANPUR NAGAR UTTAR PRADESH
Website : https://navodaya.gov.in/nvs/nvs-school/KANPURNAGAR"
670,"Aff. No. :2134661
Sch. Code:72463","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : J L T EDUCATION CENTER
Head/Principal Name: SHIKHA BAJPAI","Address : LUDHAURI, LUDHAURI, LUDHAURI
Website : https://jlteducationcentre.com/"
671,"Aff. No. :2134770
Sch. Code:72522","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : SHRI RAM INTERNATIONAL SCHOOL
Head/Principal Name: GEETA GUPTA","Address : NANDANA, PATARSA, GHATAMPUR
Website : www.sriorg.in"
672,"Aff. No. :2134483
Sch. Code:72351","State : UTTAR PRADESH
District : KANPUR NAGAR",Senior Secondary Level,"Name : RISING SUN GLOBAL SCHOOL
Head/Principal Name: PAWAN KUMAR SINGH","Address : SACHENDI , KANPUR NAGAR, UP
Website : https://rsgssachendi.in/"
