sno,aff_no_school_code,state_district,school_head_name,address,website
399,"Aff. No. :830965
Sch. Code:45893","State : KARNATAKA
District : BENGALURU URBAN",Secondary Level,"Name : ST. PHILOMENAS PUBLIC SCHOOL
Head/Principal Name: Vani Gopal","Address : BYALAKERE HESAGHATTA HOBLI, YELAHANKA BANGALORE - 560089
Website : www.stphilomenaspublicschool.in"
400,"Aff. No. :830966
Sch. Code:45906","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : DEENS ACADEMY
Head/Principal Name: HEMLATA PANDE","Address : SY NO 48/2, KATHRIGUPPE VILLAGE, NERIGA, ANEKAL TALUK, SARJAPURA ROAD, BANGALORE 562125
Website : www.gunjur.deensacademy.com"
401,"Aff. No. :830968
Sch. Code:45895","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : INDIRA KRISHNA VIDYASHALA
Head/Principal Name: Poornima S Narayan","Address : NO.25, VASANTHAPURA MAIN ROAD, SHARADA NAGAR
Website : www.ikv.edu.in"
402,"Aff. No. :830974
Sch. Code:45900","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : WISDOM MONTFORT INTERNATIONAL SCHOOL
Head/Principal Name: K K THOMAS","Address : WISDOM MONTFORT INTERNATIONAL SCHOOL, AGRAHARA LAYOUT, THIRUMENAHALLI, BANGALORE - 64.
Website : www.wisdommontfort.edu.in"
403,"Aff. No. :830977
Sch. Code:45915","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : GJR INTERNATIONAL SCHOOL
Head/Principal Name: Neelam Ravi","Address : 1/1 & 1/2 CHINNAPPANAHALLI
Website : https://gjrinternationalschool.edu.in/"
404,"Aff. No. :830980
Sch. Code:45912","State : KARNATAKA
District : BENGALURU URBAN",Secondary Level,"Name : ENDEAVOUR ACADEMY
Head/Principal Name: KANMANI KAVITHA K","Address : NO.41,BUKKASAGARA VILLAGE BANNERGHATTA POST ANEKAL TALUK BANGALORE - 560105
Website : www.endeavour.academy"
405,"Aff. No. :830982
Sch. Code:45901","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : BANGALORE INTERNATIONAL KIDS HIGH
Head/Principal Name: Anthony Raj A","Address : NO. 20/A, NEW SAPTAGIRI LAYOUT, UTTARAHALLI MAIN ROAD, SUBRAHMANYAPURA
Website : www.kidshigh.co.in"
406,"Aff. No. :830984
Sch. Code:46736","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : NEW LEARNING LADDERS INTERNATIONAL SCHOOL
Head/Principal Name: RATULA SAHA","Address : #332/2 2ND A MAIN ROAD OPP B.CHANNASANDRA RAILWAY STATION B.CHANNASANDRA
Website : www.newlearningladdersinternationalschool.org"
407,"Aff. No. :830987
Sch. Code:45933","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : EDIFY SCHOOL ELECTRONIC CITY
Head/Principal Name: Mahesh Kadakkalakath","Address : 388/O,NAGANAYAKANAHALLI 6TH MAIN, 17TH CROSS, SECTOR C, SURYANAGAR PHASE2,ANEKAL CHANDAPURA MAIN ROAD, BENGALURU -562106
Website : www.edifyschoolecity.com"
408,"Aff. No. :830988
Sch. Code:45914","State : KARNATAKA
District : BENGALURU URBAN",Senior Secondary Level,"Name : BIRLA OPEN MINDS INTERNATIONAL SCHOOL
Head/Principal Name: U P BINOY","Address : 50/1, MARGONDANAHALLI, HEBRON ENCLAVE ROAD, KITHAGANUR MAIN ROAD,
Website : https://isebangalore.com/"
