sno,aff_no_school_code,state_district,school_head_name,address,website
539,"Aff. No. :1930804
Sch. Code:55923","State : TAMILNADU
District : KANYAKUMARI",Senior Secondary Level,"Name : LHL CBSE SCHOOL
Head/Principal Name: VINITHA SAMRAJ","Address : LHL NAGAR, VISVASAPURAM, THOVALAI
Website : www.lhlcbseschool.com"
540,"Aff. No. :1930787
Sch. Code:55681","State : TAMILNADU
District : KANYAKUMARI",Senior Secondary Level,"Name : MOUNT LITERA ZEE SCHOOL MYLAUDY
Head/Principal Name: S DEEPA SELVI","Address : THILLAI AVENUE, KOONDUPALAM NORTH
Website : www.mountliteraschool.edu.in"
541,"Aff. No. :1930793
Sch. Code:55705","State : TAMILNADU
District : KANYAKUMARI",Senior Secondary Level,"Name : MOUNT LITERA ZEE SCHOOL-NEYYOOR
Head/Principal Name: LAKSHMI KALA V M","Address : LAHAI EDUCATIONS, 7-10-D,VENIS NAGAR,MYLODE, NEYYOOR POST.
Website : www.lahaimountliterazeeschool.com"
542,"Aff. No. :1930794
Sch. Code:55694","State : TAMILNADU
District : KANYAKUMARI",Senior Secondary Level,"Name : VICTORY PUBLIC SCHOOL (CBSE)
Head/Principal Name: G K JINI PRINCE","Address : MYLODE , ALENCODE P.O, KANYAKUMARI DISTRICT , 629802
Website : www.victorypublicschool.org"
543,"Aff. No. :1930797
Sch. Code:55785","State : TAMILNADU
District : KANYAKUMARI",Senior Secondary Level,"Name : BISHOP REMIGIUS SCHOOL
Head/Principal Name: A John Rouswalt","Address : BISHOP REMIGIUS SCHOOL, CARMEL NAGAR.
Website : www.bishopemigiusschool.com"
544,"Aff. No. :1930587
Sch. Code:55482","State : TAMILNADU
District : KANYAKUMARI",Senior Secondary Level,"Name : ST. JOSEPH CALASANZ SCHOOL
Head/Principal Name: JINS JOSEPH","Address : SAHAYAMATHA STREET AGASTEESWARAM KANYAKUMARI
Website : www.sjcskanyakumari.in"
545,"Aff. No. :1930595
Sch. Code:55556","State : TAMILNADU
District : KANYAKUMARI",Senior Secondary Level,"Name : GNANA VIDYA MANDIR
Head/Principal Name: C CHANDRA KALA","Address : KEELAKATTUVILAI, MADHUSUDHANAPURAM VILLAGE, MANIKATTIPOTTAL POST
Website : www.gnanavidyamandir.edu.in"
546,"Aff. No. :1930682
Sch. Code:55573","State : TAMILNADU
District : KANYAKUMARI",Senior Secondary Level,"Name : ST. JOSEPHS SCHOOL
Head/Principal Name: P Eskalin Gonsalves","Address : ATTINKARAI, MANAVALAKURICHY
Website : www.stjosephschoolcbse.edu.in"
547,"Aff. No. :1930399
Sch. Code:55326","State : TAMILNADU
District : KANYAKUMARI",Senior Secondary Level,"Name : NARAYANAPILLAI MEMORIAL VIDYA KENDRA
Head/Principal Name: MANJULA V S","Address : CHITHARAL & POST, KANYAKUMARI DISTRICT, TAMILNADU
Website : www.nmvkcbse.com"
548,"Aff. No. :1930556
Sch. Code:55428","State : TAMILNADU
District : KANYAKUMARI",Senior Secondary Level,"Name : AMRITA VIDYALAYAM, KANYAKUMARI
Head/Principal Name: Jayasri Gopalakrishnan","Address : AMRITA PURAM, SARAVANANTHERI, AGASTHEESWARAM POST, KANYAKUMARI
Website : http://amrita.edu.in/kanyakumari"
549,"Aff. No. :1930543
Sch. Code:55594","State : TAMILNADU
District : KANYAKUMARI",Senior Secondary Level,"Name : SMR NATIONAL SCHOOL
Head/Principal Name: M PRIYA","Address : LOTUS PARK, CHERUPALOOR PO.
Website : www.smrnationalschool.in"
550,"Aff. No. :1930136
Sch. Code:55082","State : TAMILNADU
District : KANYAKUMARI",Senior Secondary Level,"Name : ADARSH VIDYA KENDRA
Head/Principal Name: MARIA JOE JEGADHESH","Address : POINEER COMPOUND VETTURNIMADAM NAGERCOIL KANYAKUMARI DISTT. TAMIL NADU
Website : https://avk.edu.in/"
551,"Aff. No. :1900038
Sch. Code:59046","State : TAMILNADU
District : KANYAKUMARI",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: ASHISH KUMAR JOSHI","Address : NAGERCOIL, KONAM (PO), KANYAKUMARI DISTT., TAMILNADU
Website : https://nagarcoil.kvs.ac.in"
552,"Aff. No. :1930262
Sch. Code:55177","State : TAMILNADU
District : KANYAKUMARI",Senior Secondary Level,"Name : THE PIONEER SCHOOL
Head/Principal Name: VENKATARAMAN N S","Address : M.S.ROAD, VETTURNIMADAM
Website : www.pioneerschoolindia.com"
553,"Aff. No. :1930153
Sch. Code:","State : TAMILNADU
District : KANYAKUMARI",Secondary Level,"Name : HILDAS PUBLIC SCHOOL
Head/Principal Name: MR. Y. JEGAN DEVA KUMAR","Address : 41 WATER TANK ROAD NAGERCOIL TAMILNADU TAMIL NADU
Website :"
554,"Aff. No. :1930164
Sch. Code:55004","State : TAMILNADU
District : KANYAKUMARI",Senior Secondary Level,"Name : N V K S HIGHER SECONDARY SCHOOL
Head/Principal Name: SATHISH KUMAR R","Address : ATTOR KANYAKUMARI DISTT. TAMIL NADU
Website : www.nvkshss.in"
555,"Aff. No. :1930207
Sch. Code:55144","State : TAMILNADU
District : KANYAKUMARI",Senior Secondary Level,"Name : RAJAS INTERNATIONAL SCHOOL
Head/Principal Name: MALARVIZHI J L","Address : OZUGINASERY NAGERCOIL, DISTT KANYAKUMARI, TAMIL NADU
Website : www.tris.in"
556,"Aff. No. :1930250
Sch. Code:55189","State : TAMILNADU
District : KARUR",Senior Secondary Level,"Name : PON VIDYA MANDIR
Head/Principal Name: S N VIDHYA","Address : SF NO.175, NH 7, MANMANGALAM, KARUR-639006.
Website : www.pvm.ac.in"
557,"Aff. No. :1930247
Sch. Code:55175","State : TAMILNADU
District : KARUR",Senior Secondary Level,"Name : CHETTINAD VIDYA MANDIR
Head/Principal Name: P VIJAYALAKSHMI","Address : CHETTIPALAYAM, PULIYUR C.F. POST,KARUR
Website : www.chettinadvidyamandir.org"
558,"Aff. No. :1930254
Sch. Code:55186","State : TAMILNADU
District : KARUR",Senior Secondary Level,"Name : BHARANI VIDHYALAYA
Head/Principal Name: C RAMASUBRAMANIAN","Address : BHARANI GARDENS, SALEM BYEPASS ROAD, VENNAIMALAI POST, KARUR
Website : www.bharanividhyalaya.com"
559,"Aff. No. :1930396
Sch. Code:55353","State : TAMILNADU
District : KARUR",Secondary Level,"Name : ZEE LITERA VALLEY SCHOOL
Head/Principal Name: P S RAMYA","Address : SURVEY NO. 301, VILLAGE : KANDAMBAN KURUCHI, ZEE GREEN FIELDS, VALLIPALAYAM ROAD, MANNMANGALAM, TALUKA: KARUR, DISTRICT: KARUR.
Website : www.zlvskarur.in"
560,"Aff. No. :1930420
Sch. Code:55286","State : TAMILNADU
District : KARUR",Senior Secondary Level,"Name : VELAMMAL VIDYALAYA SCHOOL
Head/Principal Name: Ragunathan P","Address : VELAMMAL AVENUE, KAKAVADI VILLAGE, KARUR DIST.
Website : www.velammalschoolskarur.edu.in"
561,"Aff. No. :1930436
Sch. Code:55529","State : TAMILNADU
District : KARUR",Senior Secondary Level,"Name : SRI SANKARA VIDYALAYAA
Head/Principal Name: KAMESWARARAO P V M","Address : S.F.NO.2347, 2348 & 2349 ANDANKOVIL EAST VILLAGE, CHINNANDAN KOVIL
Website : www.srisankaravidyalayaa.com"
562,"Aff. No. :1930321
Sch. Code:55372","State : TAMILNADU
District : KARUR",Secondary Level,"Name : STAR SCHOOL
Head/Principal Name: SIDDARTHAN R","Address : COVAI MAIN ROAD ANDANKOIL, KARUR TAMILNADU - 639002
Website : www.starschoolscbse.co.in"
563,"Aff. No. :1930637
Sch. Code:55601","State : TAMILNADU
District : KARUR",Senior Secondary Level,"Name : TNPL PUBLIC SCHOOL
Head/Principal Name: ARO AMALAN A","Address : KAGITHAPURAM KARUR DISTRICT TAMILNADU.-639 136
Website : https://tnplpublicschool.edu.in/"
564,"Aff. No. :1930641
Sch. Code:55530","State : TAMILNADU
District : KARUR",Senior Secondary Level,"Name : THE INDIAN PUBLIC SCHOOL
Head/Principal Name: Bastin Kumar M","Address : 371/1 & 379/1, PAZHAMAPURAM VILLAGE, POOLAMPALAYAM(POST) KARUR TAMIL NADU- 639 008
Website : https://karur.tipsglobeducate.com/"
565,"Aff. No. :1930809
Sch. Code:55723","State : TAMILNADU
District : KARUR",Secondary Level,"Name : SITA RAJARAM PUBLIC SCHOOL
Head/Principal Name: J Gayathri Devi","Address : MUTHU NAGAR
Website : www.sitarajarampublicschool.in"
566,"Aff. No. :1930980
Sch. Code:55947","State : TAMILNADU
District : KARUR",Secondary Level,"Name : VENUS GLOBAL CAMPUS SCHOOL
Head/Principal Name: SUMAIYA M","Address : A.P.NAGAR, ERODE MAIN ROAD, PUNNAMCHATHRAM KARUR - 639 136
Website : https://venusglobalcampus.com/"
567,"Aff. No. :1931121
Sch. Code:56022","State : TAMILNADU
District : KARUR",Secondary Level,"Name : USWATHUN HASANA ISLAMIC INTERNATIONAL SCHOOL
Head/Principal Name: IMDADULLAH M A","Address : LINGAMANAYAKKANPATTY, PALLAPATTI VILLAGE, ARAVAKURICHI TALUK, KARUR DISTRICT - 639207
Website : www.uhiiscbseschool.com"
568,"Aff. No. :1931099
Sch. Code:56064","State : TAMILNADU
District : KARUR",Secondary Level,"Name : SIDDHARTH PUBLIC SCHOOL
Head/Principal Name: VIGNESH.V","Address : SIDDHARTH PUBLIC SCHOOL THANNERPALLI RAJENDHIRAM NORTH VILLAGE KULITHALAI TALUK KARUR DISTRICT TAMILNADU 639107
Website : www.spskulithalai.com"
569,"Aff. No. :1931837
Sch. Code:57470","State : TAMILNADU
District : KARUR",Secondary Level,"Name : MOUNT GIRIS INTERNATIONAL SCHOOL
Head/Principal Name: GEETHA T","Address : KARUR - TRICHY NATIONAL HIGHWAY - 81, KULITHALAI, KARUR
Website : www.mountgiris.com"
570,"Aff. No. :1931779
Sch. Code:57397","State : TAMILNADU
District : KARUR",Secondary Level,"Name : S.V.C. PUBLIC SCHOOL
Head/Principal Name: Sithiq Ali H","Address : ALAGHAPURI ROAD,, R.T. MALAI,, KULITHALAI TALUK
Website : www.svcpublicschool.com"
571,"Aff. No. :1931783
Sch. Code:57414","State : TAMILNADU
District : KARUR",Senior Secondary Level,"Name : AMRITA VIDYALAYAM
Head/Principal Name: SAMUNDESWARI RS","Address : PUGALUR ROAD, SEMMADAI BUS STOP, MANMANGALAM VILLAGE, MANMANGALAM TALUK
Website : https://amritaschool.edu.in/karur"
572,"Aff. No. :1931292
Sch. Code:56297","State : TAMILNADU
District : KARUR",Senior Secondary Level,"Name : VIJAY VIDHYA MANDIR
Head/Principal Name: E.MEGANATHAN","Address : VIJAY VIDHYA MANDIR, EMOOR, KARUR-639005
Website : www.vijayvidhyamandir.com"
573,"Aff. No. :1931336
Sch. Code:56358","State : TAMILNADU
District : KARUR",Senior Secondary Level,"Name : SRI CHAITANYA TECHNO SCHOOL
Head/Principal Name: G VADIVUKKARASI","Address : SURVEY NO :113 & 114, LNS VILLAGE,KARUR,TAMILNADU
Website : www.srichaitanyatechnoschoolkarur.net"
574,"Aff. No. :1931318
Sch. Code:56327","State : TAMILNADU
District : KARUR",Secondary Level,"Name : SHARVALAKSHA VIDHYAALAYAA
Head/Principal Name: M S GEETHA","Address : KARUR-ERODE MAIN ROAD, P.K.NAGAR, VETTAMANGALAM PO, KARUR DT - 639117
Website : www.sharvalakshavidhyaalayaaedu.com"
