sno,aff_no_school_code,state_district,school_head_name,address,website
1934,"Aff. No. :3630543
Sch. Code:57258","State : TELANGANA
District : RANGAREDDY",Secondary Level,"Name : SREENIDHI SCHOOL
Head/Principal Name: KAVIRAJ KANNAYAN","Address : AZIZNAGAR, MOINABAD(M), RANGAREDDY
Website : httpd://sreenidhischool.edu.in"
1935,"Aff. No. :3630545
Sch. Code:57269","State : TELANGANA
District : RANGAREDDY",Secondary Level,"Name : GREEN GABLES SCHOOL
Head/Principal Name: JAYASREE KISHORE","Address : SURVEY NO.1997&204, MIRZAGUDA (V) JANWADA, SHANKARPALLY MANDAL
Website : https://greengablesschool.in/"
1936,"Aff. No. :3630568
Sch. Code:57332","State : TELANGANA
District : RANGAREDDY",Secondary Level,"Name : SANJOE PUBLIC SCHOOL
Head/Principal Name: REJI P C","Address : H NO 1-191 TOOPRA KHURD VILLAGE, AMEERPET POST, MAHESHWARAM MANDAL
Website : https://sanjoepublicschool.com/"
1937,"Aff. No. :3630561
Sch. Code:57313","State : TELANGANA
District : RANGAREDDY",Secondary Level,"Name : RAVINDRA BHARATHI GLOBAL SCHOOL
Head/Principal Name: CH.SARITHA","Address : 9-9-204 & 205, BESIDE MANDA YADAVA REDDY GARDENS , CHAMPAPET
Website : https://rbgschampapet.in/"
1938,"Aff. No. :3630562
Sch. Code:57316","State : TELANGANA
District : RANGAREDDY",Senior Secondary Level,"Name : AVN AGASTYA SCHOOL
Head/Principal Name: Nivedita Vasudeva","Address : SY .NO 237/A & 238/AA , BAGH HAYATNAGAR VILLAGE, HAYATH NAGAR MANDAL
Website : https://avnagastyainternationalschool.com/"
1939,"Aff. No. :3630565
Sch. Code:57325","State : TELANGANA
District : RANGAREDDY",Secondary Level,"Name : SRI SATHYA SAI GRAMMAR HIGH SCHOOL
Head/Principal Name: Arun Mony","Address : SY.NO. 34/2, H.NO. 1-45/7/8/4, TEMPLE HILLS COLONY, CHEVELLA (V & M)
Website : https://www.sssghs.co.in/"
1940,"Aff. No. :3630520
Sch. Code:56955","State : TELANGANA
District : RANGAREDDY",Secondary Level,"Name : DELHI PUBLIC SCHOOL
Head/Principal Name: Sharat Kumar Singh","Address : SURVEY NO 191/1,191/2,191/3 & 192,, RAJIV GANDHI INTERNATIONAL AIRPORT, SHAMSABAD
Website : https://www.dpsaerocity.in"
1941,"Aff. No. :3630521
Sch. Code:56957","State : TELANGANA
District : RANGAREDDY",Secondary Level,"Name : SRI CHAITANYA SCHOOL
Head/Principal Name: BOREDDY VIDYA RANI","Address : SY.NO.83(P),84&85, PLOT NO.338 TO 342,, ROAD NO.9,PHASEII, BHAGYALAKSHMI NAGAR,, SERILINGAMPALLY(M)
Website : http://www.srichaitanyaschoolgachibowli.net/"
1942,"Aff. No. :3630511
Sch. Code:56930","State : TELANGANA
District : RANGAREDDY",Secondary Level,"Name : BHASHYAM BLOOMS SCHOOL
Head/Principal Name: B. SIRISHA","Address : SY NO. 70, SAMA NAGAR, SAHEB NAGAR KALAN, HAYATH NAGAR MANDAL, RANGA REDDY DISTRICT
Website : https://bloomssamanagarcbse.in/"
1943,"Aff. No. :3630509
Sch. Code:56926","State : TELANGANA
District : RANGAREDDY",Senior Secondary Level,"Name : KAIROS SCHOOL
Head/Principal Name: MEENAKSHI JAIN","Address : H.NO.3-37, TNGO'S COLONY, GOPANPALLY, SERILINGAMPALLY, RANGAREDDY
Website : www.kairosschools.in"
