sno,aff_no_school_code,state_district,school_head_name,address,website
346,"Aff. No. :532177
Sch. Code:42214","State : HARYANA
District : JIND",Senior Secondary Level,"Name : NEW BSM SENIOR SECONDARY SCHOOL
Head/Principal Name: SATINDER KUMAR","Address : SINGHANA ROAD , VILLAGE RAMPURA, SAFIDON
Website : HTTP://WWW.NBSMSCHOOL.COM"
347,"Aff. No. :532071
Sch. Code:42085","State : HARYANA
District : JIND",Senior Secondary Level,"Name : NATIONAL SR. SEC. SCHOOL
Head/Principal Name: MAHIPAL","Address : NEAR SBI BANK , POST OFFICE BAGRU KALAN
Website : www.nationalschoolsafidon.com"
348,"Aff. No. :531989
Sch. Code:41994","State : HARYANA
District : JIND",Secondary Level,"Name : JAI DURGA INTERNATIONAL SCHOOL
Head/Principal Name: SUDESH KUMAR CHAUDHARY","Address : ASSANDH ROAD, SAFIDON, JIND
Website : www.jdinternationalschool.com"
349,"Aff. No. :532008
Sch. Code:42014","State : HARYANA
District : JIND",Senior Secondary Level,"Name : SHRI GYANENDRA PUBLIC SCHOOL
Head/Principal Name: BALINDER","Address : VPO KALWAN, TEH NARWANA DISTT JIND
Website : http://www.sgpschool.co.in/"
350,"Aff. No. :531922
Sch. Code:41924","State : HARYANA
District : JIND",Senior Secondary Level,"Name : SHIKSHA BHARTI MODEL SCHOOL
Head/Principal Name: Anil Chahal","Address : VILLAGE AND POST UJHANA, TEHSIL NARWANA, DISTRICT JIND
Website : http://shikshabhartiujhana.com/"
351,"Aff. No. :531824
Sch. Code:41816","State : HARYANA
District : JIND",Senior Secondary Level,"Name : CHANAKYA INTERNATIONAL SCHOOL
Head/Principal Name: Ritu Devi","Address : 2.6 MILE STONE FROM NH 71, KASUHAN
Website : www.cisschools.in"
352,"Aff. No. :531737
Sch. Code:41716","State : HARYANA
District : JIND",Senior Secondary Level,"Name : DAV POLICE PUBLIC SCHOOL, POLICE LINES,GOHANA ROAD, DISTT. JIND
Head/Principal Name: Rajni Yadav","Address : DAV POLICE PUBLIC SCHOOL POLICE LINES GOHANA ROAD DISTRICT-JIND -126102
Website : www.davppsjind.org"
353,"Aff. No. :531746
Sch. Code:41725","State : HARYANA
District : JIND",Senior Secondary Level,"Name : CHANAKYA GLOBAL SCHOOL
Head/Principal Name: Mamta","Address : VPO - ALEWA, DISTRICT - JIND
Website : www.cgsalewa.in"
354,"Aff. No. :531719
Sch. Code:41698","State : HARYANA
District : JIND",Senior Secondary Level,"Name : LOTUS PUBLIC SENIOR SECONDARY SCHOOL
Head/Principal Name: VIJAY","Address : VILL BRAH KHURD TEHSIL & DISTRICT JIND
Website : www.lotusschooljind.in"
355,"Aff. No. :531703
Sch. Code:41682","State : HARYANA
District : JIND",Secondary Level,"Name : GURUKULAM GLOBAL SCHOOL
Head/Principal Name: JASMER BOORA","Address : VILL SINDHVI KHERA
Website : www.gurukulamjind.com"
