sno,aff_no_school_code,state_district,school_head_name,address,website
766,"Aff. No. :1720116
Sch. Code:12107","State : RAJASTHAN
District : JHALAWAR",Senior Secondary Level,"Name : SWAMI VIVEKANAND GOVERNMENT MODEL SCHOOL
Head/Principal Name: MUKUT BIHARI NAGAR","Address : AKLERA, BLOCK-MANOHARTHAN, DISTT, JHALAWAR, RAJASTHAN
Website : www.svgmsmanoharthana.com"
767,"Aff. No. :1720077
Sch. Code:12069","State : RAJASTHAN
District : JHALAWAR",Senior Secondary Level,"Name : SWAMI VIVEKANAND GOVT MODEL SCHOOL
Head/Principal Name: KOMAL KUMAR MEENA","Address : BAKANI, BLOCK BAKANI, DIST JHALAWAR, RAJASTHAN
Website : www.svgmsbakani.in"
768,"Aff. No. :1720141
Sch. Code:12133","State : RAJASTHAN
District : JHALAWAR",Senior Secondary Level,"Name : SWAMI VIVEKANAND GOVT. MODEL SCHOOL
Head/Principal Name: ISRAR AHAMAD KHAN","Address : DAG, JHALAWAR, RAJASTHAN-326514
Website : www.dugsvgms.com"
769,"Aff. No. :1720143
Sch. Code:11211","State : RAJASTHAN
District : JHALAWAR",Senior Secondary Level,"Name : DAV KALISINDH THERMAL PUBLIC SCHOOL, JHALAWAR
Head/Principal Name: HARISH PAL","Address : KATPP TOWNSHIP AREA, GRAM-UNDAL, TEH-JHALARAPATAN, DISTRICT- JHALAWAR, RAJASTHAN- 326 023
Website : www.davkatpp.org"
770,"Aff. No. :1700049
Sch. Code:14150","State : RAJASTHAN
District : JHALAWAR",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA JHALAWAR
Head/Principal Name: VED PRAKASH MEENA","Address : JHALAWAR JHALRAPATAN RAJASTHAN
Website : www.jhalawar.kvs.ac.in"
771,"Aff. No. :1720041
Sch. Code:12040","State : RAJASTHAN
District : JHALAWAR",Senior Secondary Level,"Name : SWAMI VIVEKANAND GOVT MODEL SCHOOL
Head/Principal Name: PURI LAL MEENA","Address : ASHNAWAR, BLOCK- JHALRAPATAN, DISTT- JHALAWAR, RAJASTHAN
Website : http://www.svgmsjhalrapatan.com"
772,"Aff. No. :1730080
Sch. Code:10427","State : RAJASTHAN
District : JHALAWAR",Senior Secondary Level,"Name : LADY ANUSUYA SINGHANIA EDUCATIONAL ACADEMY
Head/Principal Name: Rajesh Kumar Mishra","Address : VRINDAVAN KOTA ROAD, JHALAWAR RAJASTHAN
Website : www.lasea.ac.in"
773,"Aff. No. :1740018
Sch. Code:14066","State : RAJASTHAN
District : JHALAWAR",Senior Secondary Level,"Name : PM SHRI SCHOOL JAWAHAR NAVODAYA VIDYALAYA
Head/Principal Name: DAYA SHANKAR CHATURVEDI","Address : PACHPAHAR BHAWANIMANDI JHALAWAR RAJASTHAN
Website : www.jnvjhalawar.com"
774,"Aff. No. :1740026
Sch. Code:14070","State : RAJASTHAN
District : JHUNJHUNU",Senior Secondary Level,"Name : PM SHRI SCHOOL JAWAHAR NAVODAYA VIDYALAYA
Head/Principal Name: SANJAY KUMAR YADAV","Address : KAJRA DISTT JHUNJHUNU RAJASTHAN
Website :"
775,"Aff. No. :1780025
Sch. Code:14210","State : RAJASTHAN
District : JHUNJHUNU",Senior Secondary Level,"Name : SAINIK SCHOOL JHUNJHUNU
Head/Principal Name: GP CAPT NISHANT GUPTA","Address : SAINIK SCHOOL, JHUNJHUNU VILL & POST DORASAR DIST JHUNJHUNU RAJASTHAN 333021
Website : www.ssjhunjhunu.com"
776,"Aff. No. :1731110
Sch. Code:11605","State : RAJASTHAN
District : JHUNJHUNU",Senior Secondary Level,"Name : GURUKRIPA PUBLIC SCHOOL
Head/Principal Name: VANDANA SINGH RATHORE","Address : TEHSIL- NAWALGARH, JHUNJHUNU
Website : https://gpsghoriwara.ac.in"
777,"Aff. No. :1731159
Sch. Code:11676","State : RAJASTHAN
District : JHUNJHUNU",Senior Secondary Level,"Name : GUDHA INTERNATIONAL SCHOOL
Head/Principal Name: SUNIL KUMAR","Address : JASRAPUR, TEH. KHETRI
Website : https://gisjasrapur.gudhaeducation.com/"
778,"Aff. No. :1731152
Sch. Code:11661","State : RAJASTHAN
District : JHUNJHUNU",Secondary Level,"Name : SIDDHARTH INTERNATIONAL SCHOOL
Head/Principal Name: ANIL KUMAR BHASKAR","Address : UDAIPURWATI, JHUNJHUNU
Website : http://www.siddharthinternationalschool.com/"
779,"Aff. No. :1731023
Sch. Code:11501","State : RAJASTHAN
District : JHUNJHUNU",Senior Secondary Level,"Name : JALDEEP MEMORIAL PUBLIC SCHOOL
Head/Principal Name: SUNIL KUMAR","Address : VPO - KUHARWAS, TEH - BUHANA , DISTT- JHUMJHUNUN
Website : www.jaldeepians.com"
780,"Aff. No. :1731010
Sch. Code:11476","State : RAJASTHAN
District : JHUNJHUNU",Senior Secondary Level,"Name : PRINCE INTERNATIONAL SCHOOL
Head/Principal Name: DR ANITA SHARMA","Address : WARD NO 13 AZAD NAGAR DERWALA ROAD JHUNJHUNU
Website : http://princeinternationalschool.org"
781,"Aff. No. :1731013
Sch. Code:11480","State : RAJASTHAN
District : JHUNJHUNU",Senior Secondary Level,"Name : SHRI HANUMAN BUX GOGRAJ BAGARIA SR SEC PUBLIC SCHOOL BAGAR, JHUNJHUNU
Head/Principal Name: SOMESH KUMAR","Address : WARD NO 10 NEAR PIRAMAL GATE
Website : www.bagariaschool.in"
782,"Aff. No. :1731016
Sch. Code:11486","State : RAJASTHAN
District : JHUNJHUNU",Secondary Level,"Name : RPS CHIRAWA
Head/Principal Name: ANJANA KUMARI","Address : NEW BUS STAND CHIRAWA DISTRICT - JHUNJHUNU (RAJASTHAN)
Website : www.rpschirawa.com"
783,"Aff. No. :1730990
Sch. Code:11450","State : RAJASTHAN
District : JHUNJHUNU",Secondary Level,"Name : PARADISE INTERNATIONAL PUBLIC SCHOOL
Head/Principal Name: SURESH KUMAR","Address : PARASHRAM PURA,(PURANA)NAWALGARH,JHUNJHUNU
Website : http://www.paradisepubschool.com"
784,"Aff. No. :1731259
Sch. Code:11878","State : RAJASTHAN
District : JHUNJHUNU",Secondary Level,"Name : MG GLOBAL SCHOOL
Head/Principal Name: ASHA SINGH","Address : CHANWARA ROAD, NEAR SHIVAM PLAZA MARKET, GUDHA GORJI
Website : https://mgglobalschool.com"
