sno,aff_no_school_code,state_district,school_head_name,address,website
744,"Aff. No. :1520461
Sch. Code:17574","State : ODISHA
District : KENDRAPARA",Senior Secondary Level,"Name : ODISHA ADARSHA VIDYALAYA BAGHATAILA
Head/Principal Name: B LOPAMUDRA","Address : BAGHATAILA, MAHULIA, RAJNAGAR
Website : www.oav.edu.in"
745,"Aff. No. :1520439
Sch. Code:17552","State : ODISHA
District : KENDRAPARA",Secondary Level,"Name : ODISHA ADARSHA VIDYALAYA BANTO
Head/Principal Name: LAXMIKANTA BEHERA","Address : AT - BANTO, PO - CHANDAN NAGAR, BLOCK / PS - PATTAMUNDAI
Website : https://oav.edu.in"
746,"Aff. No. :1520440
Sch. Code:17553","State : ODISHA
District : KENDRAPARA",Secondary Level,"Name : ODISHA ADARSHA VIDYALAYA ADOI
Head/Principal Name: SADEKA TABASUM","Address : ADOI, BARAKANDHA, MAHAKALPARA KENDRAPARA, ADOI BARAKANDHA MAHAKALPARA KENDRAPARA, AT-ADOI,PO-BARAKAMDHA,P.S-MAHAKALPARA
Website : www.oav.edu.in"
747,"Aff. No. :1520442
Sch. Code:17555","State : ODISHA
District : KENDRAPARA",Secondary Level,"Name : ODISHA ADARSHA VIDYALAYA ACHINTA
Head/Principal Name: JAYDEV DEY","Address : AT-ACHINTA, PO-JAGULAIPARA, PS-RAJKANIKA
Website : https://oav.edu.in/oav/home/OAVAHN"
748,"Aff. No. :1520489
Sch. Code:17603","State : ODISHA
District : KENDRAPARA",Secondary Level,"Name : ODISHA ADARSHA VIDYALAYA NIAL
Head/Principal Name: PRATAP KUMAR SAHOO","Address : AT- NIAL, PO- NIAL, PS- AUL
Website : www.oav.edu.in"
749,"Aff. No. :1520483
Sch. Code:17596","State : ODISHA
District : KENDRAPARA",Secondary Level,"Name : ODISHA ADARSHA VIDYALAYA PARAKANA
Head/Principal Name: SANTOSI DASI SAMAL","Address : AT- PARAKNA, VIA- KOLAR, PS- PATAKURA,
Website : https://oav.edu.in/oav/home/OAVJMP"
750,"Aff. No. :1520510
Sch. Code:17627","State : ODISHA
District : MALKANGIRI",Secondary Level,"Name : EKLAVYA MODEL RESIDENTIAL SCHOOL CHITRAKONDA
Head/Principal Name: ADDINKI SRINIVAS ACHARY","Address : AT CHITRAKONDA, P.O. CHITRAKONDA, PS CHITRAKONDA
Website : https://emrschitrakonda.com"
751,"Aff. No. :1520454
Sch. Code:17567","State : ODISHA
District : MALKANGIRI",Senior Secondary Level,"Name : EKLAVYA MODEL RESIDENTIAL SCHOOL(EMRS) MATHILI
Head/Principal Name: SAROJ KUMAR MANDAL","Address : AT-MENDUKULI, PO-DALAPATIGUDA, PS/BLOCK-MATHILI
Website : https://www.emrsmathili.com/"
752,"Aff. No. :1530026
Sch. Code:15388","State : ODISHA
District : MALKANGIRI",Secondary Level,"Name : IMST ENGLISH MEDIUM NURSERY & HIGH SCHOOL
Head/Principal Name: SASIKALA","Address : MALKANGIRI COLONY P.O. MALKANGIRI DISTT. ORISSA
Website : www.imstmkg.in"
753,"Aff. No. :1500034
Sch. Code:19116","State : ODISHA
District : MALKANGIRI",Senior Secondary Level,"Name : PM SHRI KENDRIYA VIDYALAYA
Head/Principal Name: KAILASH MEENA","Address : MALKANGIRI. DISTT. MALKANGIRI, ORISSA
Website : https://malkangiri.kvs.ac.in"
754,"Aff. No. :1520063
Sch. Code:17170","State : ODISHA
District : MALKANGIRI",Senior Secondary Level,"Name : ODISHA ADARSHA VIDYALAYA
Head/Principal Name: RAJEEBA KUMAR DUTTA","Address : MUDULIPADA, KHAIPUT, AT/P.O PADAGHAT, DISTT. MALKANGIRI, ODISHA-764046
Website : https://oav.edu.in/?GROUP_CODE=OAVPOD"
755,"Aff. No. :1520013
Sch. Code:17101","State : ODISHA
District : MALKANGIRI",Senior Secondary Level,"Name : EKLAVYA MODEL RESIDENTIAL SCHOOL
Head/Principal Name: HALADHAR SABAR","Address : CHAMPA NAGAR, MALKANGIRI, ISSA
Website : www.omtes.org/emrs/mkg"
756,"Aff. No. :1520018
Sch. Code:17150","State : ODISHA
District : MALKANGIRI",Senior Secondary Level,"Name : ODISHA ADARSHA VIDYALAYA
Head/Principal Name: DUSMANTA KUMAR MAHANTA","Address : KANGURUKONDA, AT/PO. KANGRUKONDA, VIA-KALIMELA, DISTT. MALKANGIRI, ODISHA-764047
Website : https://www.oav.edu.in/oav/home/OAVKKA"
757,"Aff. No. :1520045
Sch. Code:17134","State : ODISHA
District : MALKANGIRI",Senior Secondary Level,"Name : ODISHA ADARSH VIDYALAYA
Head/Principal Name: LAXMINARAYAN ACHARYA","Address : GONDHIPALLI (NEAR GOVT.ITI)PO. MALKANGIRI, DIST- MALKANGIRI , ODISHA-764045
Website : www.oav.edu.in"
758,"Aff. No. :1520156
Sch. Code:17242","State : ODISHA
District : MALKANGIRI",Senior Secondary Level,"Name : ODISHA ADARSH VIDYALAYA
Head/Principal Name: BISWASHRI BISWASPRAVAT DAS","Address : AT./PO/PS-CHITRAKONDA, DIST.MALKANGIRI, ODISHA-764052
Website : www.oav.edu.in"
759,"Aff. No. :1520157
Sch. Code:17243","State : ODISHA
District : MALKANGIRI",Senior Secondary Level,"Name : ODISHA ADARSH VIDYALAYA
Head/Principal Name: LOPAMUDRA MAHARATHI","Address : AT. JHULUNIBAHAL, PO-MATHILI, DIST-. MALKANGIRI, ODISHA-764044
Website : www.oav.edu.in/oav/home/OAVJUL"
760,"Aff. No. :1520158
Sch. Code:17244","State : ODISHA
District : MALKANGIRI",Senior Secondary Level,"Name : ODISHA ADARSHA VIDYALAYA
Head/Principal Name: MAHESWAR SAHOO","Address : GUNDURIGUDA KUDUMULUGUMMA, MALKANGIRI, ODISHA (ODISHA)
Website : https://www.oav.edu.in/oav/home/OAVGGA"
761,"Aff. No. :1520300
Sch. Code:17475","State : ODISHA
District : MALKANGIRI",Senior Secondary Level,"Name : KALINGA MODEL RESIDENTIAL SCHOOL, BALIMELA, MALKANGIRI
Head/Principal Name: CHITTARANJAN PANDA","Address : AT/PO-BALIMELA, PS-ORKEL, DIST-MALKANGIRI
Website : http://kmrsbalimela.in/"
762,"Aff. No. :1520106
Sch. Code:17112","State : ODISHA
District : MALKANGIRI",Senior Secondary Level,"Name : ODISHA ADARSH VIDYALAYA,
Head/Principal Name: JAYANT KUMAR SETHI","Address : BAPANPALLY, PODIA BLOCK, MALKAGIRI, ODISHA.
Website : www.oav.edu.in"
763,"Aff. No. :1530443
Sch. Code:16325","State : ODISHA
District : MALKANGIRI",Senior Secondary Level,"Name : MODERN ENGLISH SCHOOL
Head/Principal Name: MAHASWETA PANIGRAHI","Address : AT- BHATISALGUDA, PO- MALKANGIRI, PS-MALKANGIRI
Website : https://modernschoolmalkangiri.in/"
764,"Aff. No. :1540024
Sch. Code:19067","State : ODISHA
District : MALKANGIRI",Senior Secondary Level,"Name : JAWAHAR NAVODAYA VIDYALAYA
Head/Principal Name: SRINIVASA RAO YELDI","Address : MALKHANGIRI AT JR SCIENCE COLLEGE PO MALKANGIRI COLONY SO DISTT MALBANGIRI ORISSA
Website : https://navodaya.gov.in/nvs/nvs-school/MALKANGIRI-"
765,"Aff. No. :1540031
Sch. Code:19084","State : ODISHA
District : MALKANGIRI",Senior Secondary Level,"Name : JAWAHAR NAVODAYA VIDYALAYA-2, BALIMELA
Head/Principal Name: RACHA RAMU","Address : OHPC ROAD, NEAR OCC OFFICE, POST- BALIMELA, DIST. MALKANGIRI, PIN-764051
Website : https://navodaya.gov.in/nvs/nvs-school/MALKANGIRI2/en/home/"
766,"Aff. No. :1540010
Sch. Code:19085","State : ODISHA
District : NUAPADA",Senior Secondary Level,"Name : PM SHRI SCHOOL JAWAHAR NAVODAYA VIDYALAYA
Head/Principal Name: DEEKOLLI VENKATA RAMANA","Address : NUPADA AT & P O NUPADA ORISSA
Website : https://navodaya.gov.in/nvs/nvs-school/Nuapada/en/home/"
767,"Aff. No. :1530369
Sch. Code:16121","State : ODISHA
District : NUAPADA",Secondary Level,"Name : GYANJYOTI KANCHANBEN RASIKLAL VIDYALAYA
Head/Principal Name: M BHUBANESHWARI","Address : AT.PO. - KHARIAR ROAD, DIST. - NUAPADA
Website : http://gyanjyotikrvidyalaya.com"
768,"Aff. No. :1530181
Sch. Code:15402","State : ODISHA
District : NUAPADA",Secondary Level,"Name : KISHNI DEVI GOVIND RAM SARAFF PUBLIC SCHOOL
Head/Principal Name: ANANTA KUMAR GIRI","Address : WARD NO.08 PS JONK KHARIAR ROAD, NUAPADA
Website : www.kgspschool.in"
769,"Aff. No. :1520098
Sch. Code:17152","State : ODISHA
District : NUAPADA",Senior Secondary Level,"Name : ODISHA ADARSH VIDYALAYA
Head/Principal Name: CHITTARANJAN MATARI","Address : AT. KESHRAJPUR, PO-KHAIRA, GP- SUAPUR, PO-KHAIRA, GP-SUNAPUR,PS-BODEN-DISTT. NAUPADA- 766 111 ODISHA
Website : www.oav.edu.in"
770,"Aff. No. :1520032
Sch. Code:17198","State : ODISHA
District : NUAPADA",Senior Secondary Level,"Name : ODISHA ADARSHA VIDYALAYA
Head/Principal Name: SHIBU KUMAR BISWAL","Address : AT/P.O-TIMANPUR, VIA-SINAPALI, DISTT. NUAPADA, ODISHA-766108
Website : https://oav.edu.in/oav/about-school/oavtim"
