2026-05-21 14:34:16,905 | INFO | Page 3
2026-05-21 14:34:20,743 | INFO | Total rows so far: 300
2026-05-21 14:34:23,792 | INFO | Page 4
2026-05-21 14:34:27,614 | INFO | Total rows so far: 400
2026-05-21 14:34:30,664 | INFO | Page 5
2026-05-21 14:34:34,596 | INFO | Total rows so far: 500
2026-05-21 14:34:37,645 | INFO | Page 6
2026-05-21 14:34:41,478 | INFO | Total rows so far: 600
2026-05-21 14:34:44,531 | INFO | Page 7
2026-05-21 14:34:48,359 | INFO | Total rows so far: 700
2026-05-21 14:34:51,417 | INFO | Page 8
2026-05-21 14:34:55,275 | INFO | Total rows so far: 800
2026-05-21 14:34:58,323 | INFO | Page 9
2026-05-21 14:35:02,181 | INFO | Total rows so far: 900
2026-05-21 14:35:05,230 | INFO | Page 10
2026-05-21 14:35:09,089 | INFO | Total rows so far: 1000
2026-05-21 14:35:12,136 | INFO | Page 11
2026-05-21 14:35:16,017 | INFO | Total rows so far: 1100
2026-05-21 14:35:19,068 | INFO | Page 12
2026-05-21 14:35:22,872 | INFO | Total rows so far: 1200
2026-05-21 14:35:25,920 | INFO | Page 13
2026-05-21 14:35:29,709 | INFO | Total rows so far: 1300
2026-05-21 14:35:32,764 | INFO | Page 14
2026-05-21 14:35:36,540 | INFO | Total rows so far: 1400
2026-05-21 14:35:39,592 | INFO | Page 15
2026-05-21 14:35:43,533 | INFO | Total rows so far: 1500
2026-05-21 14:35:46,581 | INFO | Page 16
2026-05-21 14:35:50,385 | INFO | Total rows so far: 1600
2026-05-21 14:35:53,435 | INFO | Page 17
2026-05-21 14:35:57,229 | INFO | Total rows so far: 1700
2026-05-21 14:36:00,281 | INFO | Page 18
2026-05-21 14:36:04,099 | INFO | Total rows so far: 1800
2026-05-21 14:36:07,134 | INFO | Page 19
2026-05-21 14:36:07,946 | INFO | Total rows so far: 1821
2026-05-21 14:36:07,954 | INFO | Last page reached
2026-05-21 14:36:07,974 | INFO | Saved 1821 rows
2026-05-21 14:36:07,974 | INFO | Saved file at: C:\Users\addys\OneDrive\Desktop\Sports\Linkedin\data\Cbse_scraper\output\cbse_schools_data.csv
2026-05-21 14:39:58,008 | INFO | Starting REGION WISE scrape
2026-05-21 14:40:01,038 | INFO | Clicked Region Wise radio
2026-05-21 14:40:08,436 | INFO | Selected region: PANCHKULA
2026-05-21 14:40:10,612 | INFO | Search clicked successfully
2026-05-21 14:40:15,618 | INFO | Setting entries per page to 100
2026-05-21 14:40:18,702 | INFO | Page 1
2026-05-21 14:40:22,606 | INFO | Total rows so far: 100
2026-05-21 14:40:25,658 | INFO | Page 2
2026-05-21 14:40:29,406 | INFO | Total rows so far: 200
2026-05-21 14:40:32,454 | INFO | Page 3
2026-05-21 14:40:36,260 | INFO | Total rows so far: 300
2026-05-21 14:40:39,327 | INFO | Page 4
2026-05-21 14:40:43,083 | INFO | Total rows so far: 400
2026-05-21 14:40:46,129 | INFO | Page 5
2026-05-21 14:40:49,881 | INFO | Total rows so far: 500
2026-05-21 14:40:52,930 | INFO | Page 6
2026-05-21 14:40:56,687 | INFO | Total rows so far: 600
2026-05-21 14:40:59,735 | INFO | Page 7
2026-05-21 14:41:03,528 | INFO | Total rows so far: 700
2026-05-21 14:41:06,576 | INFO | Page 8
2026-05-21 14:41:10,385 | INFO | Total rows so far: 800
2026-05-21 14:41:13,433 | INFO | Page 9
2026-05-21 14:41:17,229 | INFO | Total rows so far: 900
2026-05-21 14:41:20,274 | INFO | Page 10
2026-05-21 14:41:24,062 | INFO | Total rows so far: 1000
2026-05-21 14:41:27,109 | INFO | Page 11
2026-05-21 14:41:30,841 | INFO | Total rows so far: 1100
2026-05-21 14:41:33,892 | INFO | Page 12
2026-05-21 14:41:37,688 | INFO | Total rows so far: 1200
2026-05-21 14:41:40,738 | INFO | Page 13
2026-05-21 14:41:44,557 | INFO | Total rows so far: 1300
2026-05-21 14:41:47,606 | INFO | Page 14
2026-05-21 14:41:51,342 | INFO | Total rows so far: 1400
2026-05-21 14:41:54,390 | INFO | Page 15
2026-05-21 14:41:58,194 | INFO | Total rows so far: 1500
2026-05-21 14:42:01,243 | INFO | Page 16
2026-05-21 14:42:05,015 | INFO | Total rows so far: 1600
2026-05-21 14:42:08,052 | INFO | Page 17
2026-05-21 14:42:09,392 | INFO | Total rows so far: 1635
2026-05-21 14:42:09,400 | INFO | Last page reached
2026-05-21 14:42:09,419 | INFO | Saved 1635 rows
2026-05-21 14:42:09,419 | INFO | Saved file at: C:\Users\addys\OneDrive\Desktop\Sports\Linkedin\data\Cbse_scraper\output\cbse_schools_data.csv
2026-05-21 15:00:55,642 | INFO | Starting REGION WISE scrape
2026-05-21 15:00:58,677 | INFO | Clicked Region Wise radio
2026-05-21 15:01:34,833 | INFO | Selected region: DELHI WEST
2026-05-21 15:01:37,037 | INFO | Search clicked successfully
2026-05-21 15:01:42,046 | INFO | Setting entries per page to 100
2026-05-21 15:01:45,129 | INFO | Page 1
2026-05-21 15:01:49,448 | INFO | Total rows so far: 100
2026-05-21 15:01:52,495 | INFO | Page 2
2026-05-21 15:01:57,276 | INFO | Total rows so far: 200
2026-05-21 15:02:00,342 | INFO | Page 3
2026-05-21 15:02:05,166 | INFO | Total rows so far: 300
2026-05-21 15:02:08,211 | INFO | Page 4
2026-05-21 15:02:12,130 | INFO | Total rows so far: 400
2026-05-21 15:02:15,173 | INFO | Page 5
